Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 60,Z,5.625,6.591,"±1,000",0.966,Pass,
insert 61,X,424.389,424.280,"±1,000",-0.109,Pass,
insert 61,Y,155.973,156.035,"±1,000",0.062,Pass,
insert 61,Z,5.625,6.917,"±1,000",1.292,Fail,0.292
insert 62,X,365.465,365.343,"±1,000",-0.122,Pass,
insert 62,Y,266.213,266.270,"±1,000",0.057,Pass,
insert 62,Z,5.625,6.903,"±1,000",1.278,Fail,0.278
insert 63,X,316.730,316.631,"±1,000",-0.099,Pass,
insert 63,Y,240.164,240.289,"±1,000",0.125,Pass,
insert 63,Z,5.625,6.842,"±1,000",1.217,Fail,0.217
insert 64,X,332.396,332.330,"±1,000",-0.066,Pass,
insert 64,Y,306.507,306.587,"±1,000",0.080,Pass,
insert 64,Z,5.625,6.995,"±1,000",1.370,Fail,0.370
insert 65,X,235.770,235.735,"±1,000",-0.035,Pass,
insert 65,Y,385.806,385.819,"±1,000",0.013,Pass,
insert 65,Z,5.625,6.844,"±1,000",1.219,Fail,0.219
insert 66,X,200.713,200.596,"±1,000",-0.117,Pass,
insert 66,Y,343.089,343.181,"±1,000",0.092,Pass,
insert 66,Z,5.625,6.715,"±1,000",1.090,Fail,0.090
insert 67,X,189.799,189.707,"±1,000",-0.092,Pass,
insert 67,Y,410.378,410.408,"±1,000",0.030,Pass,
insert 67,Z,5.625,6.784,"±1,000",1.159,Fail,0.159
insert 68,X,70.182,70.071,"±1,000",-0.111,Pass,
insert 68,Y,446.664,446.676,"±1,000",0.012,Pass,
insert 68,Z,5.625,6.868,"±1,000",1.243,Fail,0.243
insert 69,X,54.140,54.037,"±1,000",-0.103,Pass,
insert 69,Y,393.783,393.832,"±1,000",0.049,Pass,
insert 69,Z,5.625,6.760,"±1,000",1.135,Fail,0.135
insert 70,X,18.307,18.151,"±1,000",-0.156,Pass,
insert 70,Y,451.773,451.336,"±1,000",-0.437,Pass,
insert 70,Z,5.625,7.152,"±1,000",1.527,Fail,0.527
insert 71,X,-106.091,-106.153,"±1,000",-0.062,Pass,
insert 71,Y,439.521,439.475,"±1,000",-0.046,Pass,
insert 71,Z,5.625,6.782,"±1,000",1.157,Fail,0.157
insert 72,X,-100.675,-100.729,"±1,000",-0.054,Pass,
insert 72,Y,384.527,384.552,"±1,000",0.025,Pass,
insert 72,Z,5.625,7.095,"±1,000",1.470,Fail,0.470
insert 73,X,-155.973,-156.075,"±1,000",-0.102,Pass,
insert 73,Y,424.389,424.399,"±1,000",0.010,Pass,
insert 73,Z,5.625,7.036,"±1,000",1.411,Fail,0.411
insert 74,X,-266.213,-266.254,"±1,000",-0.041,Pass,
insert 74,Y,365.465,365.514,"±1,000",0.049,Pass,
insert 74,Z,5.625,6.842,"±1,000",1.217,Fail,0.217
insert 75,X,-240.164,-240.198,"±1,000",-0.034,Pass,
insert 75,Y,316.730,316.780,"±1,000",0.050,Pass,
insert 75,Z,5.625,6.872,"±1,000",1.247,Fail,0.247
insert 76,X,-306.507,-306.563,"±1,000",-0.056,Pass,
insert 76,Y,332.396,332.422,"±1,000",0.026,Pass,
insert 76,Z,5.625,6.828,"±1,000",1.203,Fail,0.203
insert 77,X,-385.806,-385.801,"±1,000",0.005,Pass,
insert 77,Y,235.770,235.743,"±1,000",-0.027,Pass,
insert 77,Z,5.625,6.931,"±1,000",1.306,Fail,0.306
insert 78,X,-343.089,-343.127,"±1,000",-0.038,Pass,
insert 78,Y,200.713,200.769,"±1,000",0.056,Pass,
insert 78,Z,5.625,6.784,"±1,000",1.159,Fail,0.159
insert 79,X,-410.378,-410.381,"±1,000",-0.003,Pass,
insert 79,Y,189.799,189.835,"±1,000",0.036,Pass,
insert 79,Z,5.625,6.810,"±1,000",1.185,Fail,0.185
insert 80,X,-446.664,-446.658,"±1,000",0.006,Pass,
insert 80,Y,70.182,70.283,"±1,000",0.101,Pass,
insert 80,Z,5.625,6.805,"±1,000",1.180,Fail,0.180
insert 81,X,-393.783,-393.790,"±1,000",-0.007,Pass,
insert 81,Y,54.140,54.134,"±1,000",-0.006,Pass,
insert 81,Z,5.625,6.798,"±1,000",1.173,Fail,0.173
insert 82,X,373.471,373.396,"±1,000",-0.075,Pass,
insert 82,Y,-13.871,-13.797,"±1,000",0.074,Pass,
insert 82,Z,5.625,6.525,"±1,000",0.900,Pass,
insert 83,X,357.155,357.091,"±1,000",-0.064,Pass,
insert 83,Y,110.060,110.117,"±1,000",0.057,Pass,
insert 83,Z,5.625,6.846,"±1,000",1.221,Fail,0.221
insert 84,X,302.368,302.287,"±1,000",-0.081,Pass,
insert 84,Y,102.847,102.932,"±1,000",0.085,Pass,
insert 84,Z,5.625,6.516,"±1,000",0.891,Pass,
insert 85,X,330.371,330.300,"±1,000",-0.071,Pass,
insert 85,Y,174.723,174.800,"±1,000",0.077,Pass,
insert 85,Z,5.625,6.537,"±1,000",0.912,Pass,
insert 86,X,254.275,254.181,"±1,000",-0.094,Pass,
insert 86,Y,273.892,273.931,"±1,000",0.039,Pass,
insert 86,Z,5.625,6.786,"±1,000",1.161,Fail,0.161
insert 87,X,210.435,210.349,"±1,000",-0.086,Pass,
insert 87,Y,240.252,240.353,"±1,000",0.101,Pass,
insert 87,Z,5.625,6.771,"±1,000",1.146,Fail,0.146
insert 88,X,198.748,198.691,"±1,000",-0.057,Pass,
insert 88,Y,316.500,316.515,"±1,000",0.015,Pass,
insert 88,Z,5.625,6.854,"±1,000",1.229,Fail,0.229
insert 89,X,83.263,83.205,"±1,000",-0.058,Pass,
insert 89,Y,364.335,364.454,"±1,000",0.119,Pass,
insert 89,Z,5.625,6.849,"±1,000",1.224,Fail,0.224
insert 90,X,62.116,62.026,"±1,000",-0.090,Pass,
insert 90,Y,313.281,313.309,"±1,000",0.028,Pass,
insert 90,Z,5.625,6.925,"±1,000",1.300,Fail,0.300
insert 91,X,13.871,13.785,"±1,000",-0.086,Pass,
insert 91,Y,373.471,373.409,"±1,000",-0.062,Pass,
insert 91,Z,5.625,6.772,"±1,000",1.147,Fail,0.147
insert 92,X,-110.060,-110.107,"±1,000",-0.047,Pass,
insert 92,Y,357.155,357.150,"±1,000",-0.005,Pass,
insert 92,Z,5.625,6.902,"±1,000",1.277,Fail,0.277
insert 93,X,-102.847,-102.942,"±1,000",-0.095,Pass,
insert 93,Y,302.368,302.404,"±1,000",0.036,Pass,
insert 93,Z,5.625,6.580,"±1,000",0.955,Pass,
insert 94,X,-174.723,-174.776,"±1,000",-0.053,Pass,
insert 94,Y,330.371,330.350,"±1,000",-0.021,Pass,
insert 94,Z,5.625,6.755,"±1,000",1.130,Fail,0.130
insert 95,X,-273.892,-273.924,"±1,000",-0.032,Pass,
insert 95,Y,254.275,254.382,"±1,000",0.107,Pass,
insert 95,Z,5.625,6.558,"±1,000",0.933,Pass,
insert 96,X,-240.252,-240.292,"±1,000",-0.040,Pass,
insert 96,Y,210.435,210.472,"±1,000",0.037,Pass,
insert 96,Z,5.625,6.630,"±1,000",1.005,Fail,0.005
insert 97,X,-316.500,-316.489,"±1,000",0.011,Pass,
insert 97,Y,198.748,198.766,"±1,000",0.018,Pass,
insert 97,Z,5.625,6.600,"±1,000",0.975,Pass,
insert 98,X,-364.335,-364.358,"±1,000",-0.023,Pass,
