Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,rotated,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 101,Z,-5.625,-5.835,"±1,000",-0.210,Pass,
insert 102,X,-219.515,-219.619,"±1,000",-0.104,Pass,
insert 102,Y,98.047,98.013,"±1,000",-0.034,Pass,
insert 102,Z,-5.625,-6.449,"±1,000",-0.824,Pass,
insert 103,X,-247.424,-247.340,"±1,000",0.084,Pass,
insert 103,Y,159.035,159.014,"±1,000",-0.021,Pass,
insert 103,Z,-5.625,-6.454,"±1,000",-0.829,Pass,
insert 104,X,-159.035,-158.974,"±1,000",0.061,Pass,
insert 104,Y,247.424,247.449,"±1,000",0.025,Pass,
insert 104,Z,-5.625,-6.555,"±1,000",-0.930,Pass,
insert 105,X,-119.961,-119.876,"±1,000",0.085,Pass,
insert 105,Y,208.349,208.362,"±1,000",0.013,Pass,
insert 105,Z,-5.625,-6.387,"±1,000",-0.762,Pass,
insert 106,X,-106.691,-106.618,"±1,000",0.073,Pass,
insert 106,Y,274.094,274.127,"±1,000",0.033,Pass,
insert 106,Z,-5.625,-7.053,"±1,000",-1.428,Fail,-0.428
insert 107,X,16.770,16.830,"±1,000",0.060,Pass,
insert 107,Y,293.649,293.681,"±1,000",0.032,Pass,
insert 107,Z,-5.625,-7.207,"±1,000",-1.582,Fail,-0.582
insert 108,X,25.414,25.504,"±1,000",0.090,Pass,
insert 108,Y,239.069,239.122,"±1,000",0.053,Pass,
insert 108,Z,-5.625,-7.295,"±1,000",-1.670,Fail,-0.670
insert 109,X,74.794,74.823,"±1,000",0.029,Pass,
insert 109,Y,284.459,284.648,"±1,000",0.189,Pass,
insert 109,Z,-5.625,-7.573,"±1,000",-1.948,Fail,-0.948
insert 110,X,186.169,186.153,"±1,000",-0.016,Pass,
insert 110,Y,227.710,227.649,"±1,000",-0.061,Pass,
insert 110,Z,-5.625,-7.389,"±1,000",-1.764,Fail,-0.764
insert 111,X,161.082,161.100,"±1,000",0.018,Pass,
insert 111,Y,178.473,178.516,"±1,000",0.043,Pass,
insert 111,Z,-5.625,-7.119,"±1,000",-1.494,Fail,-0.494
insert 112,X,227.710,227.667,"±1,000",-0.043,Pass,
insert 112,Y,186.169,186.333,"±1,000",0.164,Pass,
insert 112,Z,-5.625,-7.286,"±1,000",-1.661,Fail,-0.661
insert 113,X,284.459,284.520,"±1,000",0.061,Pass,
insert 113,Y,74.794,74.862,"±1,000",0.068,Pass,
insert 113,Z,-5.625,-7.110,"±1,000",-1.485,Fail,-0.485
insert 114,X,235.222,235.408,"±1,000",0.186,Pass,
insert 114,Y,49.706,49.969,"±1,000",0.263,Pass,
insert 114,Z,-5.625,-7.283,"±1,000",-1.658,Fail,-0.658



